Z_PK,Z_ENT,Z_OPT,Z3RECRRINTERVALS,Z_FOK_3RECRRINTERVALS,ZABSVALUEPREV,ZTIMESTAMP,ZVALUE
115,5,1,1,66560,59010.0,502544472.49625,794.0
116,5,1,1,63488,56677.0,502544470.501235,760.0
117,5,1,1,111616,94244.0,502544508.906561,745.0
118,5,1,1,73728,65000.0,502544479.479551,822.0
119,5,1,1,117760,98510.0,502544512.400253,732.0
120,5,1,1,110592,93499.0,502544507.410771,791.0
121,5,1,1,98304,84133.0,502544497.933589,888.0
122,5,1,1,86016,74230.0,502544488.457459,688.0
123,5,1,1,104448,88863.0,502544503.420418,755.0
124,5,1,1,65536,58216.0,502544471.499039,765.0
125,5,1,1,77824,68347.0,502544482.471848,875.0
126,5,1,1,95232,81543.0,502544495.439677,924.0
127,5,1,1,84992,73542.0,502544487.459811,689.0
128,5,1,1,126976,105887.0,502544521.375817,845.0
129,5,1,1,124928,104196.0,502544519.879322,860.0
130,5,1,1,119808,100025.0,502544518.402891,775.0
131,5,1,1,187392,148161.0,502544578.511452,668.0
132,5,1,1,183296,145533.0,502544574.832444,671.0
133,5,1,1,179200,142855.0,502544572.822209,696.0
134,5,1,1,175104,140020.0,502544569.822805,734.0
135,5,1,1,171008,137124.0,502544567.09162,645.0
136,5,1,1,166912,134556.0,502544563.942037,660.0
137,5,1,1,162816,131913.0,502544561.842422,660.0
138,5,1,1,158720,129271.0,502544558.842408,663.0
139,5,1,1,154624,126582.0,502544555.841741,694.0
140,5,1,1,150528,123628.0,502544552.841453,785.0
141,5,1,1,146432,120403.0,502544549.841317,843.0
142,5,1,1,142336,117200.0,502544530.852787,740.0
143,5,1,1,138240,114138.0,502544528.358868,799.0
144,5,1,1,193536,152758.0,502544583.000423,802.0
145,5,1,1,195584,154302.0,502544584.505755,757.0
146,5,1,1,191488,151169.0,502544581.503745,810.0
147,5,1,1,189440,149581.0,502544579.010158,742.0
148,5,1,1,185344,146833.0,502544577.015604,634.0
149,5,1,1,181248,144198.0,502544573.932245,663.0
150,5,1,1,177152,141459.0,502544570.842317,713.0
151,5,1,1,173056,138552.0,502544567.872843,724.0
152,5,1,1,168960,135824.0,502544565.922478,633.0
153,5,1,1,164864,133254.0,502544562.861739,674.0
154,5,1,1,160768,130596.0,502544559.892229,663.0
155,5,1,1,156672,127947.0,502544557.823331,672.0
156,5,1,1,152576,125146.0,502544554.821358,763.0
157,5,1,1,148480,122071.0,502544551.821373,835.0
158,5,1,1,144384,118671.0,502544532.349106,743.0
159,5,1,1,140288,115705.0,502544529.356656,759.0
160,5,1,1,136192,112599.0,502544526.51743,688.0
161,5,1,1,135168,111911.0,502544526.517411,692.0
162,5,1,1,145408,119560.0,502544548.821183,889.0
163,5,1,1,141312,116460.0,502544529.855631,755.0
164,5,1,1,196608,155026.0,502544585.494482,724.0
165,5,1,1,192512,151956.0,502544582.002748,787.0
166,5,1,1,188416,148839.0,502544579.01014,678.0
167,5,1,1,184320,146199.0,502544575.8224,666.0
168,5,1,1,180224,143535.0,502544572.822226,680.0
169,5,1,1,176128,140746.0,502544570.842298,726.0
170,5,1,1,194560,153545.0,502544583.000441,787.0
171,5,1,1,190464,150359.0,502544580.007542,778.0
172,5,1,1,186368,147493.0,502544577.015622,660.0
173,5,1,1,172032,137828.0,502544567.872825,704.0
174,5,1,1,182272,144862.0,502544574.832427,664.0
175,5,1,1,178176,142159.0,502544571.832827,700.0
176,5,1,1,167936,135191.0,502544564.872565,635.0
177,5,1,1,174080,139286.0,502544568.982001,734.0
178,5,1,1,163840,132580.0,502544561.842439,667.0
179,5,1,1,169984,136479.0,502544565.922496,655.0
180,5,1,1,165888,133896.0,502544563.94202,642.0
181,5,1,1,159744,129933.0,502544559.892212,662.0
182,5,1,1,161792,131253.0,502544560.821895,657.0
183,5,1,1,155648,127275.0,502544556.831617,693.0
184,5,1,1,157696,128608.0,502544557.823349,661.0
185,5,1,1,153600,125888.0,502544555.841722,742.0
186,5,1,1,151552,124383.0,502544553.831347,755.0
187,5,1,1,149504,122843.0,502544552.841436,772.0
188,5,1,1,147456,121236.0,502544550.861201,833.0
189,5,1,1,143360,117928.0,502544532.349089,728.0
190,5,1,1,139264,114946.0,502544529.356637,808.0
191,5,1,1,137216,113339.0,502544527.860159,740.0
192,5,1,1,228352,177751.0,502544610.433048,962.0
193,5,1,1,276480,213094.0,502544644.848765,796.0
194,5,1,1,241664,187818.0,502544619.91012,707.0
195,5,1,1,206848,162128.0,502544591.978274,760.0
196,5,1,1,254976,196392.0,502544627.890108,698.0
197,5,1,1,220160,171149.0,502544600.956345,621.0
198,5,1,1,268288,206245.0,502544637.865648,789.0
199,5,1,1,233472,181871.0,502544613.924611,780.0
200,5,1,1,198656,156411.0,502544585.993022,685.0
201,5,1,1,246784,191163.0,502544622.902374,645.0
202,5,1,1,211968,165894.0,502544595.97617,724.0
203,5,1,1,260096,200235.0,502544631.881075,760.0
204,5,1,1,225280,175061.0,502544607.939218,760.0
205,5,1,1,273408,210614.0,502544641.856026,844.0
206,5,1,1,238592,185663.0,502544617.415859,771.0
207,5,1,1,203776,159921.0,502544590.509966,717.0
208,5,1,1,251904,194368.0,502544625.895557,636.0
209,5,1,1,217088,169255.0,502544598.961114,649.0
210,5,1,1,265216,203991.0,502544635.870783,696.0
211,5,1,1,230400,179469.0,502544611.431264,872.0
212,5,1,1,243712,189187.0,502544620.907339,677.0
213,5,1,1,208896,163706.0,502544594.472231,792.0
214,5,1,1,257024,197849.0,502544629.885273,737.0
215,5,1,1,222208,172458.0,502544602.453818,694.0
216,5,1,1,270336,207982.0,502544640.359596,887.0
217,5,1,1,235520,183373.0,502544614.922342,762.0
218,5,1,1,200704,157786.0,502544587.988342,696.0
219,5,1,1,248832,192459.0,502544624.398813,641.0
220,5,1,1,214016,167277.0,502544596.966204,685.0
221,5,1,1,262144,201756.0,502544633.875481,796.0
222,5,1,1,227328,176789.0,502544609.436054,865.0
223,5,1,1,275456,212298.0,502544644.349774,796.0
224,5,1,1,240640,187111.0,502544618.912215,734.0
225,5,1,1,205824,161368.0,502544590.980904,703.0
226,5,1,1,253952,195694.0,502544626.892704,663.0
227,5,1,1,219136,170528.0,502544599.959367,636.0
228,5,1,1,267264,205456.0,502544637.367345,708.0
229,5,1,1,232448,181091.0,502544613.42558,790.0
230,5,1,1,245760,190518.0,502544621.905969,669.0
231,5,1,1,210944,165170.0,502544594.970926,727.0
232,5,1,1,259072,199475.0,502544630.882877,817.0
233,5,1,1,224256,174301.0,502544606.443398,845.0
234,5,1,1,272384,209770.0,502544641.856004,889.0
235,5,1,1,237568,184892.0,502544617.415841,767.0
236,5,1,1,202752,159204.0,502544588.986235,714.0
237,5,1,1,250880,193732.0,502544625.895539,645.0
238,5,1,1,216064,168606.0,502544597.963549,655.0
239,5,1,1,264192,203295.0,502544634.873937,776.0
240,5,1,1,229376,178597.0,502544610.433065,846.0
241,5,1,1,242688,188510.0,502544619.910137,692.0
242,5,1,1,207872,162914.0,502544592.975825,786.0
243,5,1,1,256000,197112.0,502544629.38658,720.0
244,5,1,1,221184,171764.0,502544602.453801,615.0
245,5,1,1,269312,207095.0,502544638.863942,850.0
246,5,1,1,234496,182611.0,502544613.924629,740.0
247,5,1,1,199680,157090.0,502544586.990486,679.0
248,5,1,1,247808,191818.0,502544624.398796,655.0
249,5,1,1,212992,166592.0,502544595.976188,698.0
250,5,1,1,261120,200960.0,502544633.376958,725.0
251,5,1,1,226304,175924.0,502544608.437859,863.0
252,5,1,1,274432,211502.0,502544642.853673,888.0
253,5,1,1,239616,186377.0,502544617.914663,714.0
254,5,1,1,204800,160665.0,502544590.509985,744.0
255,5,1,1,252928,195031.0,502544626.892686,663.0
256,5,1,1,218112,169892.0,502544599.959349,637.0
257,5,1,1,266240,204748.0,502544637.367329,757.0
258,5,1,1,231424,180301.0,502544612.428775,832.0
259,5,1,1,197632,155726.0,502544585.993003,700.0
260,5,1,1,244736,189849.0,502544621.905951,662.0
261,5,1,1,209920,164443.0,502544594.472248,737.0
262,5,1,1,258048,198658.0,502544629.885289,809.0
263,5,1,1,223232,173456.0,502544605.445246,998.0
264,5,1,1,271360,208881.0,502544640.858364,899.0
265,5,1,1,236544,184125.0,502544615.919571,752.0
266,5,1,1,201728,158490.0,502544587.98836,704.0
267,5,1,1,249856,193087.0,502544624.897663,628.0
268,5,1,1,215040,167951.0,502544597.963528,674.0
269,5,1,1,263168,202519.0,502544633.875498,763.0
270,5,1,1,320512,252558.0,502544685.748918,989.0
271,5,1,1,285696,220807.0,502544652.829036,868.0
272,5,1,1,333824,266118.0,502544699.215093,1155.0
273,5,1,1,299008,231525.0,502544664.301017,809.0
274,5,1,1,312320,244475.0,502544677.768041,1101.0
275,5,1,1,325632,257202.0,502544690.735898,1064.0
276,5,1,1,290816,225105.0,502544657.817425,896.0
277,5,1,1,338944,271586.0,502544704.202705,946.0
278,5,1,1,304128,236064.0,502544669.787478,1081.0
279,5,1,1,317440,249308.0,502544682.757032,1028.0
280,5,1,1,282624,218341.0,502544649.836576,803.0
281,5,1,1,330752,262644.0,502544695.225291,1180.0
282,5,1,1,295936,229139.0,502544661.806979,804.0
283,5,1,1,309248,241246.0,502544674.775729,1047.0
284,5,1,1,322560,254271.0,502544688.242006,773.0
285,5,1,1,287744,222451.0,502544653.826766,808.0
286,5,1,1,335872,268524.0,502544701.210146,1143.0
287,5,1,1,301056,233078.0,502544665.798626,754.0
288,5,1,1,314368,246468.0,502544679.763136,1000.0
289,5,1,1,279552,215852.0,502544647.841296,900.0
290,5,1,1,327680,259325.0,502544692.7317,1134.0
291,5,1,1,292864,226791.0,502544660.310754,791.0
292,5,1,1,306176,238237.0,502544672.281379,1045.0
293,5,1,1,319488,251569.0,502544684.75079,1064.0
294,5,1,1,284672,219939.0,502544652.330358,802.0
295,5,1,1,332800,264963.0,502544698.217601,1190.0
296,5,1,1,297984,230716.0,502544664.300999,787.0
297,5,1,1,311296,243374.0,502544676.770289,1027.0
298,5,1,1,277504,214011.0,502544645.846143,917.0
299,5,1,1,324608,256138.0,502544689.739095,993.0
300,5,1,1,289792,224209.0,502544656.320669,950.0
301,5,1,1,337920,270640.0,502544703.205293,1032.0
302,5,1,1,303104,234983.0,502544668.79227,1006.0
303,5,1,1,316416,248280.0,502544681.758051,915.0
304,5,1,1,281600,217538.0,502544648.83903,826.0
305,5,1,1,329728,261464.0,502544694.726193,1166.0
306,5,1,1,294912,228335.0,502544661.30923,770.0
